Bourne, Jason Carlos
Bouvier, Zacqueline
Bouya, Harumichi
Bouya, Haruka
Bow, Fraw
Bowen, Melinda
Bowen, Chang
Bowen, Chris
Bower, Ted
Bowie, Steven
Bowman, Guld Goa
Bowman, Neil
Bowmers, Ralph
Boy, Randy Jr.
Boy, Mannish
Boya, Johnny
Boyage, Don
Boyarskii, Tatiana
Boyd, Rick
Boyd, Lucky
Boyd, Gina
Boyer, Break 
Boyle, Alexander
Boyle, Arthur
Bozado, Oluo
Bozado, Father
Bozado, Mother
Brach, Isolde
Brachio, Dino
Brad, Marcos
Brad, Colin
Bradbury, Ashley
Braddock, Martin
Bradford, L
Bradford, K
Bradford, J
Bradinov, Pietro
Bradley, King
Bradley, Selim
Bradley, Luciano
Bradley, Mrs.
Bradley, Laurette
Bradley, Avril
Bradnias, Redloerd
Brado, Douglas
Brady, James
Brady, Allen
Bragan, Lt. Bob 
Brahman, Pino
Brake, Red
Bran, Odio
Brand, Gil
Brandl Galatea, Ingrid
Brando, Dio
Brando, Diego
Brando, Dario
Brando, Alternate Diego
Brandon, Brian
Brandt, Karl 
Brandt, Christopher
Brane, Joe Carol
Brankan, Edgar
Branstein, Raidiese F.
Branstein, Elzam von
Branstein, Maier von
Branstein, Cattleya Fujiwara
Brant, Maximilien
Branthèse, Roswell
Brantini, Milinda
Branwen, Qrow
Braque, Karl
Brass, Arlon
Brauhitch, Rolf Otto
Braun, Richard
Braun, Fritz von
Braun, Reiner
Braun, Gabi
Braunschweig Ingenohl Friedeburg, Wilhelmina
Brödel, Aschen
Brea, Aya
Break, Xerxes
Break, Joshua
Breakchild, Olga
Breda, Heymans
Breed, H. H.
Breeze, Ewan
Brega, Silvestro
Brehm, Roid
Brehme, Beatrix
Breisgau, Claudia
Breitner, Paul
Bremer, Stella
Brendel, Alicia
Brennan, Rachel
Brenner, Riza
Brenten, Charles
Brenton, Levin
Brest, Lotta
Brest, Dr.
Brett, Miller
Brezhnev, Semyon
Brezhnev, Leonid
Briar, Iwark
Briar, Yor
Briar, Yuri
Brick, Lehm
Bridesmaid, Believe
Bridge, Lily
Bridges, Yuuya
Bridgestone, Yellow
Bright, Benjamin
Bright, Estelle
Bright, Joshua
Brightness, Emma
Brighton, Marca
Brighton, Annie
Brighton, Edward
Brilliant, Lisa
Brinberg, Adol
Brinberg, Mils
Brinka, Shinka
Brint, Dmitri
Brinvilliers, Renée Palamedes
Brion, Guiltia
Briscoletti, Debora
Bristol, Lilith
Britts, Jino
Britts, Timothy
Brock, Eddie
Brody, Deldro
Bromco, Conda
Bron, Enzo
Bronco, Zakki
Bronco, Fester
Bronikowski, Inghild
Bronson, Joshua
Bronson, Emma
Bronte, Alv
Bronzazza, Sekke
