R. Hill, Sugar
Rounai, Mother
Rousseau, Daniel
Rousseau, Jean
Routh, Mission
Rouvelier, Malcolm C.
Roux, Lou
Row, Alex
Row, James
Row, Rov
Row, Wolfran
Row, Lou
Rowan, Zank
Rowan, Matt
Rowan, Sybil
Rowe, Jean
Rowel, Maki
Rowen, Dyran
Rowlan, Trucias
Rowlan Satou, Ichirou
Rowlands, Hilda Janes
Rowska, Jolanta
Rowthondolf, Domon
Rowun, Temudan
Roy, Roybea
Roy, John
Roy, Minase
Royal, Nelson
Royal, Jane
Royal, Catherine
Royal, Dominique
Royer, Geraldine
Rozann, Sheila
Rozen, Father
Rozenburg, Aria
Rozetta, Leyla
Roznovski, Alice
Roznovsky, Ayla V.
Ru Lushe, Caro
Rubashvili, Anastasya
Rubel, Alain
Rubence, Metchet
Rubens, Dian
Rubenstein, Mitchal
Rubierute, Rollen Lalaia Dou
Rubinsky, Adrian
Rubinstein, Athens
Rublev, Andrei
Ruby, Jack
Rucan, Karkinos
Rud, Han
Rudbich, Deshwitat
Ruddle, Joachim
Rudel, Hans-Ulrich
Rudel, Hanna-Ulrika
Rudewell, Emilia
Rudiger Beatrix, Emelenzia
Rudling, Priscilla
Rudman, Torneo
Rudolph, Geese
Rudou, Jesus
Rue, Alicia
Ruethart, Snow
Rufa, Munfa
Ruffvie Greerglass, Gisela
Rugas, Regi
Rui, Jangal
Ruin, Brilith
Ruin, Ate
Ruizaki, Takao
Ruizaki, Hajime
Rujikee, Gyanza
Rukawa, Kaede
Rukawa, Sara
Rukawa, Tatsuya
Rukh, Ray
Rukina, Yuno
Rukina, Noa
Rukino, Saki
Rukojo, Norito
Rukureru, Mari
Ruma, Hino
Rumibul, Tiir
Rumlow, Brock
Rumzeth, Lyon
Rune, Rena
Rune, Fei
Rune, Asurei
Rune Butler, Vincent
Rune Farlord El Nix, Jircniv
Runecastle, Liza
Runette, Putis
Runorata, Bartolo
Runorata, Carzelio
Runpen, Binta
Ruo, Minai
Ruo, Long
Rupaju, Rina
Rupp, Charles
Rupu, Vasily
Ruq Insania, Nephren
Ruridou, Doris
Ruridou, Doria
Rurigaki, Yoruko
Rurigaki, Ryuuichirou
Rurikawa, Yuki
Rush, Sydney
Rusita, Cumpa
Ruslanova, Nadya
Ruslanova, Lyudmila Andreyevna
Russel, Lyn
Russel, Tita
Russell, Lynn
Russell, George
Russell, Jack
Russell, Jake
Russell, Jin
Russell, Maximillian
Russell, Stefano
Russell, Leblanc
Russo, Ladd
Russo, Ricardo
Russo, Placido
Rustasia, Manasfa
Rutaganda, Desmond
Ruth, Amelia
Ruth, Remi
Ruth, Cynthia
Ruth, Catherine
Ruth, Baby 
Ruth, Amelia
Ruth, Babe
Rutherford, Eyes
Rutherford, David
Rutherford, Edward
Rutherford, Henry
Rutherford, Nicholas
Rutherford, Kris
Ruthven, August
Rutledge Pendleton, Julia
Ruu, Zan
Ruuranrurru, Rurrura
Ruway, Sun
Ruzhkova, Clara
Ruzhkova, Layla
Ryan, Chris
Ryan, Wendy
Ryan, Keith
Ryand, Kito
Ryang-ha, Son
Ryazan, Viktor
Ryback, Aleksander
Ryde, Feidna
Ryder, Wendy
Ryder, Vim
Ryer, Ethan
Ryia, Reida
Ryllismary, Suama
Ryo, Naoki
Ryo, Yuukyou
Ryofu, Housen
Ryoji, Akira
Ryoko, Tokuno
Ryomen, Ryuu
Ryomou, Shimei
Ryong, Mong
Ryong, Mong
Ryoshi, Hun
Ryou, Ginta
Ryou, Un
Ryou, Sasaki
Ryou, Yatouji
Ryoudou, Satoka
Ryougawara, Rise 
Ryougetsuin, Azusa
Ryougi, Shiki
Ryougi, Mana
Ryougi, Father
Ryougoku, Genba
Ryougoku, Itsumi
Ryougoku, Mizuhiko
Ryouhei, Aoi
Ryouke, Makoto
Ryouma, Sakamoto
Ryoumen, Sukuna
Ryounen, Oshou
Ryoung, Dahn
Ryoung, Eun
Ryoung, Chun
Ryousuke, Masaki
Ryouta, Adachi
Ryoutarou, Shiba
Ryoutsu, Kankichi
Ryu, Ryuhou
Ryu, Han
Ryu, Kang Un
Ryu, Seung Ha
Ryu, Jin
Ryu, Ui
Ryu, Jee Hyun
Ryu, Un Ja
Ryu, Kongo
Ryu, Shiwu
Ryu, Shiho
Ryu, Han
Ryu, Yeon-Seong
Ryu, Eo
Ryu, Ijy
Ryu, Jin 
Ryu, Jin
Ryu, Miryu
Ryu, Jay
Ryudo, Yukiatsu
Ryudo, Kazumi
Ryudo, Hajime
Ryudo, Tsuzuku
Ryudo, Owaru
